Review #,Brand,Variety,Style,Country,Stars,Top Ten
2580,New Touch,T's Restaurant Tantanmen,Cup,Japan,3.75,NA
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,NA
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,NA
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,NA
2576,Ching's Secret,Singapore Curry,Pack,India,3.75,NA
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,NA
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,NA
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,NA
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,NA
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,NA
2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,NA
2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,5,NA
2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,NA
2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,NA
2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,NA
2565,KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,NA
2564,TRDP,Mario Masala Noodles,Pack,India,3.75,NA
2563,Yamachan,Tokyo Shoyu Ramen,Pack,USA,5,NA
2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,4,NA
2561,Paldo,Premium Gomtang,Pack,South Korea,4,NA
2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,NA
2559,Jackpot Teriyaki,Beef Ramen,Pack,USA,5,NA
2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,NA
2557,Yamachan,Sapporo Miso Ramen,Pack,USA,4.75,NA
2556,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,NA
2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,NA
2554,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,NA
2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,NA
2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,NA
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,NA
2550,Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,NA
2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,NA
2548,Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,NA
2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,NA
2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,NA
2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,NA
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,NA
2543,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5,NA
2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,NA
2541,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5,NA
2540,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,NA
2539,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,NA
2538,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5,NA
2537,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,NA
2536,Lele,Instant Noodles Beef,Pack,Ghana,3.5,NA
2535,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5,NA
2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,NA
2533,Nongshim,Shin Ramyun Black,Pack,South Korea,5,NA
2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,NA
2531,Uni-President,Pickled Cabbage Beef,Pack,China,4.25,NA
2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter,Pack,South Korea,2,NA
2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,NA
2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,NA
2527,Uni-President,Mushroom Flavor,Pack,Vietnam,0,NA
2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,NA
2525,Sokensha,Curry Udon,Pack,Japan,3.5,NA
2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,NA
2523,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,NA
2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,NA
2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,NA
2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,NA
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,NA
2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,NA
2517,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,NA
2516,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,NA
2515,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,NA
2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,NA
2513,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps,Can,USA,3.5,NA
2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,NA
2511,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,NA
2510,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,NA
2509,Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,NA
2508,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,NA
2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,NA
2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,NA
2505,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,NA
2504,Nongshim,Shin Ramyun,Pack,South Korea,3,NA
